item,cond,Q1,Q1O1,Q1O2,Q1O3,Q1corr_ans,Q2,Q2O1,Q2O2,Q2O3,Q2corr_ans,Q3,Q3O1,Q3O2,Q3O3,Q3corr_ans
2,3,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,C.There is not enough information,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,B. Down the mountain,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,4,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,B. Sam,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,C.There is not enough information,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,5,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,C.There is not enough information,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,C.There is not enough information,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,6,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,B. Down the mountain,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,B. Sam,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,7,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,C.There is not enough information,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,B. Sam,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,8,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,B. Down the mountain,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,C.There is not enough information,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
3,1,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,C.There is not enough information,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,C.There is not enough information,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,2,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,B.Sue,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,B.Back towards the surgery,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,3,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,C.There is not enough information,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,B.Back towards the surgery,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,4,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,B.Sue,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,C.There is not enough information,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,5,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,C.There is not enough information,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,C.There is not enough information,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,6,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,B.Back towards the surgery,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,B.Sue,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,7,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,C.There is not enough information,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,B.Sue,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
3,8,"The cleaner is standing in the small play park and wants to polish the surgery?s floors, which way does he need to go to pick up his floor polisher?",A. Ahead ,B.Back towards the surgery,C.There is not enough information,B.Back towards the surgery,A survey has taken responses from people who visit the surgery which asks which GP they prefer to go to based on their personality. Who is the most popular GP in town?,A.Malcom,B.Sue,C.There is not enough information,C.There is not enough information,The town?s surgery has recently___,A.Been refurbished ,B.Burned down,C.There is not enough information,A.Been refurbished
4,1,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,C.There is not enough information,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,C.There is not enough information,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,2,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,B.Benjamin  ,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,B.Right,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,3,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,C.There is not enough information,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,B.Right,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,4,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,B.Benjamin  ,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,C.There is not enough information,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,5,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,C.There is not enough information,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,C.There is not enough information,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,6,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,B.Right,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,B.Benjamin  ,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,7,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,C.There is not enough information,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,B.Benjamin  ,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
4,8,"Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?",A. Left,B.Right,C.There is not enough information,B.Right,"A local fisherman?s boat has recently broken down, the fisherman doesn?t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?",A.Susan,B.Benjamin  ,C.There is not enough information,C.There is not enough information,The Island has a ___ population,A.Large,B.Small,C.There is not enough information,B.Small
5,1,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,C.There is not enough information,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,C.There is not enough information,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,2,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,A.Terrance,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,A.Up,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,3,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,C.There is not enough information,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,A.Up,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,4,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,A.Terrance,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,C.There is not enough information,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,5,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,C.There is not enough information,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,C.There is not enough information,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,6,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,A.Up,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,A.Terrance,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,7,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,C.There is not enough information,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,A.Terrance,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
5,8,"Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it? ",A.Up,B.Down,C.There is not enough information,A.Up,The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance?s family is the least experienced?,A.Terrance,B.Stephen,C.There is not enough information,C.There is not enough information,Terrance?s biological father is called___,A.Andrew,B.Balthazar,C.There is not enough information,C. There is not enough information to answer 
6,1,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,C.There is not enough information,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,C.There is not enough information,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,2,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,A.Harriet?s,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,A.Towards the bridge,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,3,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,C.There is not enough information,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,A.Towards the bridge,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,4,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,A.Harriet?s,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,C.There is not enough information,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,5,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,C.There is not enough information,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,C.There is not enough information,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,6,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,A.Towards the bridge,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,A.Harriet?s,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,7,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,C.There is not enough information,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,A.Harriet?s,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
6,8,"Harriet is being randomly searched by the police stop and search operation. She decides that she wants to have a coffee after the police are done, before continuing on her journey. Which way does she need to head?",A.Towards the bridge,B.Away from the bridge ,C.There is not enough information,A.Towards the bridge,"A car thief is in Harriet?s neighbourhood and wants to make away with the most expensive car, who?s car does he steal? ",A.Harriet?s,B.Olive?s,C.There is not enough information,C.There is not enough information,Harriet ____ Barry ,A.Likes,B.Dislikes,C.There is not enough information,B.Dislikes
7,1,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,C.There is not enough information,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,C.There is not enough information,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,2,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,B.The Art Department,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,B.Right,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,3,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,C.There is not enough information,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,B.Right,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,4,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,B.The Art Department,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,C.There is not enough information,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,5,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,C.There is not enough information,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,C.There is not enough information,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,6,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,B.Right,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,B.The Art Department,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,7,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,C.There is not enough information,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,B.The Art Department,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
7,8,In order to get from the refreshment?s table to the photo booth which way would one have to go to get to the table with well wishes?,A.Left,B.Right,C.There is not enough information,B.Right,"The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it?s popularity?",A.The football team ,B.The art department,C.There is not enough information,C.There is not enough information,The theme of the Prom is___,A.1950?s,B.1960?s ,C.There is not enough information,A.1950?s
8,1,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,C.There is not enough information,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,C.There is not enough information,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,2,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,B.Ralph ,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,A.The wildlife charity ,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,3,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,C.There is not enough information,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,A.The wildlife charity ,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,4,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,B.Ralph ,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,C.There is not enough information,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,5,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,C.There is not enough information,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,C.There is not enough information,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,6,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,A.The wildlife charity ,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,B.Ralph ,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,7,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,C.There is not enough information,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,B.Ralph ,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
8,8,The Mayor of Dunwich has decided that he would personally reward the top big charity running team with donations of œ500. Which charity is most likely to receive  this donation from the Mayor?,A.The wildlife charity ,B.The cancer charity ,C.There is not enough information,A.The wildlife charity ,"After the marathon the three friends decide to compete with only each other, who is most likely to win?",A.Dustin,B.Ralph ,C.There is not enough information,C.There is not enough information,The Dunwich draws crowds from all over the___ ,A.County,B.Town,C.There is not enough information,A.County
