,item,cond,Stim,word_IDs,Placer,NumWords
12,2,4,amy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had but he simply wasnt as fast as amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they wentthe mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountains base there was a small area where people would go to throw their rubbish away,210,12,203
13,2,5,the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountains base there was a small area where people would go to throw their rubbish awayamy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had and made sure that he was at least faster than amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went,212,13,206
14,2,6,the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountains base there was a small area where people would go to throw their rubbish awayamy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had but he simply wasnt as fast as amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went,210,14,203
15,2,7,the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountains base there was a small area where people would go to throw their rubbish awayamy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had but he simply wasnt as fast as amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went,210,15,203
16,2,8,the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountains base there was a small area where people would go to throw their rubbish awayamy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had and made sure that he was at least faster than amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went,212,16,206
17,3,1,the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk more popular than at malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere behind the surgery the cleaner had worked at the surgery for as long as anyone could remember,183,17,180
18,3,2,the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk but not as popular as malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their communitythe newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere in front of the surgery the cleaner had worked at the surgery for as long as anyone could remember,186,18,182
19,3,3,the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk more popular than at malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere in front of the surgery the cleaner had worked at the surgery for as long as anyone could remember,185,19,182
20,3,4,the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk but not as popular as malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their communitythe newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere behind the surgery the cleaner had worked at the surgery for as long as anyone could remember,184,20,180
21,3,5,the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere behind the surgery the cleaner had worked at the surgery for as long as anyone could remember the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk more popular than at malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community,183,21,180
22,3,6,the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere in front of the surgery the cleaner had worked at the surgery for as long as anyone could remember the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk but not as popular as malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community,186,22,183
23,3,7,the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere behind the surgery the cleaner had worked at the surgery for as long as anyone could remember the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk but not as popular as malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community,184,23,181
24,3,8,the newly refurbished town surgery was finally ready to reopen after a whole month of being closed the surgery was located in front of a small play park surrounded by a large car park that was used for local shopping the surgery boasted more space than it had before several smaller buildings around were now used to house nonmedical tools like cleaning equipment the cleaner would keep his floor polisher in a shed somewhere in front of the surgery the cleaner had worked at the surgery for as long as anyone could remember the town surgery had three resident gps malcom who had been at the surgery the longest was liked well enough by the people who came to the surgery but his popularity was overshadowed by sue who was very well liked by patients with the surgerys refurbishment came a third gp matthew whose kind nature made him very popular with the townsfolk more popular than at malcom it didnt matter to them though as their main goal was to provide the best medical care they could to help their community,185,24,182
25,4,1,benjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was not as good of a mechanic as allan but surely the three of them would complete the work faster than just the two of them spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the left of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainland,207,25,204
26,4,2,benjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was a better mechanic than allan and surely the three of them would complete the work faster than just the two of them spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the right of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainland,204,26,201
27,4,3,benjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was not as good of a mechanic as allan but surely the three of them would complete the work faster than just the two of them spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the right of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainland,207,27,204
28,4,4,benjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was a better mechanic than allan and surely the three of them would complete the work faster than just the two of them spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the left of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainland,204,28,201
29,4,5,spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the left of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainlandbenjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was not as good of a mechanic as allan but surely the three of them would complete the work faster than just the two of them,207,29,203
30,4,6,spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the right of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainlandbenjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was a better mechanic than allan and surely the three of them would complete the work faster than just the two of them,204,30,200
31,4,7,spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the left of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainlandbenjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was a better mechanic than allan and surely the three of them would complete the work faster than just the two of them,204,31,200
32,4,8,spice island lay just three miles offshore the island didnt have a lot to offer in terms of comfort but there were a handful of people that called it home there was a small weather station to the left the small docks used mostly to load and unload supplies as well as passengers there was also a supply store somewhere to the right of the docks it was overpriced due to the fact that spice islanders had to import everything from the mainland many of them didnt mind spending more on supplies if it meant avoiding a long trip to the mainlandbenjamin the mechanic had only just arrived on the island he had been called there on the behest of his friend allan who was also a mechanic to fix the islands lighthouse benjamin was not as good of a mechanic as allan after a long day of trying to repair the lighthouse there was still much work to do to get it working allan decided to call for help susan who also lived on the island was not as good of a mechanic as allan but surely the three of them would complete the work faster than just the two of them,207,32,203
33,5,1,terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving though he was also not as experienced as joan the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere below the largest cavern,188,33,187
34,5,2,terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving and he was a far more experienced caver than joanthe locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere above the largest cavern,189,34,187
35,5,3,terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving though he was also not as experienced as joan the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere above the largest cavern,188,35,187
36,5,4,terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving and he was a far more experienced caver than joanthe locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere below the largest cavern,189,36,187
37,5,5,the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere below the largest cavern terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving though he was also not as experienced as joan,188,37,187
38,5,6,the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere above the largest cavern terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving and he was a far more experienced caver than joan,189,38,188
39,5,7,the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere below the largest cavern terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving and he was a far more experienced caver than joan,189,39,188
40,5,8,the locals had long considered the caves at the bottom of the lincoln gorge dangerous however the tourist industry just kept growing an adventure holiday company had set up a rest stop in a cave somewhere below the largest cavern the largest cavern was usually the only place inexperienced cavers got to before turning back as the tunnel that went further was a very tight squeeze a recent geological survey of the area had determined that there should be a previously undiscovered cavern somewhere above the largest cavern terrance had loved caving ever since he was introduced to it by his mother joan though she was getting older now she was still more experienced than him the two would often plan family vacations that just happened to be in the vicinity of safe but challenging cave systems terrances father had left before he was born so when his mother had married his stepfather stephen terrance was excited about the family holidays they could go on now as a trio stephen had an adventurous streak and also loved caving though he was also not as experienced as joan,188,40,187
41,6,1,harriet often travelled the long a67 highway she had what she considered to be one of the most expensive cars in her neighbourhood far more expensive than her neighbour barrys car harriet was arrogant and boastful so it made her happy that he struggled to purchase his car whereas she could easily afford hers harriets other neighbour olive had a much nicer and more expensive car than barry harriet enjoyed washing her car every weekend the a67 highway was the longest road in the county it spanned almost all of it and ran over the river stig heading to innsmouth from ipswich people had to cross the bridge over the river somewhere before this bridge there was a rest stop that offered travellers refreshment it was a popular place and saw a great many visitors making it a profitable place to own a checkpoint had been set up by the police somewhere after the rest stop as there had been reports of drug smuggling in the area,169,41,167
42,6,2,harriet often travelled the long a67 highway she had what she considered to be one of the most expensive cars in her neighbourhood far more expensive than her neighbour barrys car harriet was arrogant and boastful so it made her happy that he struggled to purchase his car whereas she could easily afford hers harriets other neighbour olive had an even less expensive car than barry harriet enjoyed washing her car every weekend the a67 highway the longest road in the county it spanned almost all of it and ran over the river stig heading to innsmouth from ipswich people had to cross the bridge over the river somewhere before this bridge there was a rest stop that offered travellers refreshment it was a popular place and saw a great many visitors making it a profitable place to own a checkpoint had been set up by the police somewhere before the rest stop as there had been reports of drug smuggling in the area,166,42,164
43,6,3,harriet often travelled the long a67 highway she had what she considered to be one of the most expensive cars in her neighbourhood far more expensive than her neighbour barrys car harriet was arrogant and boastful so it made her happy that he struggled to purchase his car whereas she could easily afford hers harriets other neighbour olive had a much nicer and more expensive car than barry harriet enjoyed washing her car every weekend the a67 highway the longest road in the county it spanned almost all of it and ran over the river stig heading to innsmouth from ipswich people had to cross the bridge over the river somewhere before this bridge there was a rest stop that offered travellers refreshment it was a popular place and saw a great many visitors making it a profitable place to own a checkpoint had been set up by the police somewhere before the rest stop as there had been reports of drug smuggling in the area,168,43,166
